      时间,    开盘,    最高,    最低,    收盘,         成交量,   MA.MA1   ,   MA.MA2   ,   MA.MA3   ,   MA.MA4   ,  VOL.VOLUME,  VOL.MAVOL1,  VOL.MAVOL2, MACD.DIF   , MACD.DEA   , MACD.MACD  
 2016/08/19-11:30,3098.87,3098.87,3082.86,3090.07,2162374,3097.8,3104.8,3106.2,3074.12,2162374,2860646.5,2820505.5,1.75,6.03,-8.55
 2016/08/19-13:30,3089.89,3096.9,3089.03,3095.36,1649449,3096,3103,3105.65,3075.32,1649449,2538496,2741350.5,1.05,5.03,-7.96
 2016/08/19-14:00,3096.02,3098.81,3091.02,3096.07,1823440,3095.4,3100.4,3105.4,3076.45,1823440,2098790.5,2660556.75,0.55,4.14,-7.17
 2016/08/19-14:30,3096.75,3113.02,3094.47,3112.57,2914937,3098.6,3100.3,3106.25,3077.8,2914937,2121318.5,2664960,1.47,3.6,-4.27
 2016/08/19-15:00,3112.32,3112.87,3105.23,3108.1,3773641,3100.4,3100.1,3106.45,3079.22,3773641,2464768,2731315.25,1.81,3.24,-2.86
 2016/08/22-10:00,3107.38,3112.66,3100.64,3105.9,5023299,3103.6,3100.7,3106.2,3080.53,5023299,3036979.25,2948812.75,1.89,2.97,-2.17
 2016/08/22-10:30,3105.03,3106.57,3097.45,3098.9,2813085,3104.4,3100.2,3105.55,3081.87,2813085,3269836.75,2904166.5,1.37,2.65,-2.57
 2016/08/22-11:00,3099.01,3099.01,3090.59,3098.31,2337538,3104.8,3100.1,3105.05,3083.17,2337538,3372441.5,2735616,0.9,2.3,-2.81
 2016/08/22-11:30,3098.09,3098.8,3086.02,3088.37,1883641,3099.8,3099.2,3104,3084.32,1883641,3166208,2643763.25,-0.28,1.79,-4.12
 2016/08/22-13:30,3089.1,3097.34,3087.87,3096.86,1514952,3097.6,3099,3103,3085.42,1514952,2714419.25,2589593.5,-0.52,1.33,-3.68
 2016/08/22-14:00,3096.8,3104.37,3096.26,3102.33,1700538,3096.8,3100.2,3102.5,3086.85,1700538,2049843.25,2543411.25,-0.26,1.01,-2.54
 2016/08/22-14:30,3101.93,3102.84,3090.76,3094.56,2163960,3096,3100.2,3101.6,3088.08,2163960,1920000,2594918.5,-0.68,0.67,-2.7
 2016/08/22-15:00,3094.69,3097.6,3083.69,3084.81,3326869,3093.4,3099.1,3099.75,3089.15,3326869,2118041.5,2745241.5,-1.77,0.18,-3.91
